x,y,z,00:13:ce:8f:77:43_RSSI,00:13:ce:8f:78:d9_RSSI,00:13:ce:95:de:7e_RSSI,00:13:ce:95:e1:6f_RSSI,00:13:ce:97:78:79_RSSI
5.4,28.04,1.2,-67.7696893989263,-22.931165109353103,-69.08599401378352,-47.00582168445401,-78.48304604390742
5.4,28.04,1.2,-67.83837751685708,-32.970470198636114,-74.0,-53.864374340727494,-76.0
4.2,28.04,1.2,-63.57007447761685,-37.226450337997385,,-54.570074477616856,
4.2,28.04,1.2,-66.00975892427074,-37.70209488442058,-77.26859135615156,-53.794892100724105,
3.0,28.04,1.2,-52.66239869817503,-36.63806446679842,-70.08699396615191,-53.37006196136977,-82.2292509377807
3.0,28.04,1.2,-66.42400624194592,-34.28789124903783,-71.37698183192816,-51.56659232216151,
3.0,28.04,1.2,-65.20499856676699,-33.77774267373245,-72.0,-49.21166726727736,
3.0,28.04,1.2,-67.2292509377807,-38.833750969087134,-75.67363205192287,-55.1824224046031,
3.0,28.04,1.2,-68.0,-40.308438357056815,-74.6404683399582,-55.0,
3.0,28.04,1.2,-68.0,-38.0,-75.0,-55.0,-81.0
1.8,28.04,1.2,-66.26103156018887,-36.36889784717638,-70.55950598061928,-53.24732881336257,-82.78072993149094
1.8,28.04,1.2,-65.10418071282328,-38.12414171398385,-69.26725087467254,-51.67276868973542,
1.8,28.04,1.2,-58.35164979127754,-35.230311682771955,-67.16241031110505,-51.34771640537744,
1.8,28.04,1.2,-67.0,,,-55.0,
1.8,28.04,1.2,-64.61712637854599,-41.21098087366815,-70.25729536201419,-58.49326940822563,
5.4,22.43,1.2,-66.00733018225361,-38.47128104620114,-66.14639239184135,-48.165724459636515,-75.74956699582532
5.4,22.43,1.2,-54.37251987889634,-37.396898377168995,-67.98497567677073,-49.560052967116945,
5.4,22.43,1.2,-66.08659880852512,-49.57779692796494,-67.09025345678137,-53.27282161257462,-63.876556748817286
4.2,22.43,1.2,-58.12075961320684,-36.140926007174,-70.44515962697234,-49.98717021111558,-76.60663086288034
4.2,22.43,1.2,-67.82794495850536,-40.51186218140262,-70.22848695871485,-53.0,-73.89895743132995
4.2,22.43,1.2,-62.3249107422043,-38.663787425932796,-70.65077749716028,-50.630722383338174,-75.26742436998713
